iter	Passed	Remaining
0	3	3833
1	7	3819
2	11	3847
3	15	3780
4	18	3732
5	22	3725
6	26	3704
7	29	3713
8	33	3709
9	37	3689
10	41	3718
11	44	3690
12	48	3653
13	51	3647
14	55	3648
15	58	3623
16	62	3618
17	65	3581
18	69	3571
19	72	3555
20	75	3541
21	79	3530
22	82	3519
23	86	3519
24	89	3509
25	93	3496
26	96	3470
27	99	3461
28	103	3462
29	106	3452
30	110	3452
31	113	3430
32	116	3413
33	119	3406
34	123	3400
35	126	3380
36	129	3370
37	132	3362
38	136	3356
39	139	3349
40	142	3332
41	145	3328
42	149	3325
43	152	3304
44	155	3293
45	158	3280
46	161	3265
47	164	3262
48	167	3254
49	170	3246
50	173	3237
51	176	3219
52	179	3210
53	182	3198
54	185	3189
55	188	3178
56	191	3171
57	195	3168
58	197	3157
59	201	3151
60	204	3146
61	207	3135
62	210	3137
63	213	3128
64	217	3123
65	220	3116
66	223	3113
67	226	3110
68	229	3103
69	233	3096
70	236	3089
71	239	3081
72	241	3069
73	244	3064
74	248	3059
75	251	3056
76	254	3055
77	258	3051
78	261	3044
79	264	3039
80	267	3034
81	270	3033
82	274	3034
83	278	3034
84	281	3030
85	285	3029
86	288	3025
87	291	3017
88	294	3015
89	298	3013
90	301	3014
91	304	3010
92	307	3003
93	311	2998
94	314	2995
95	317	2992
96	320	2985
97	323	2979
98	326	2974
99	330	2970
100	333	2968
101	336	2966
102	340	2962
103	343	2958
104	346	2954
105	349	2950
106	353	2948
107	356	2944
108	359	2940
109	363	2938
110	366	2935
111	369	2931
112	372	2927
113	376	2926
114	379	2922
115	382	2918
116	386	2916
117	389	2912
118	393	2913
119	396	2910
120	399	2902
121	402	2897
122	405	2894
123	409	2891
124	412	2888
125	415	2884
126	419	2880
127	422	2876
128	425	2869
129	428	2866
130	431	2863
131	434	2859
132	438	2856
133	441	2852
134	444	2849
135	448	2846
136	451	2842
137	454	2839
138	457	2836
139	461	2833
140	464	2828
141	467	2827
142	471	2824
143	474	2823
144	478	2820
145	481	2819
146	485	2817
147	488	2814
148	492	2810
149	495	2806
150	498	2803
151	501	2797
152	504	2793
153	507	2789
154	511	2786
155	514	2782
156	516	2775
157	519	2768
158	522	2765
159	526	2762
160	529	2759
161	532	2756
162	536	2753
163	539	2749
164	543	2748
165	546	2744
166	549	2740
167	552	2736
168	555	2733
169	559	2731
170	562	2727
171	565	2724
172	569	2720
173	572	2717
174	575	2713
175	578	2708
176	581	2704
177	584	2701
178	588	2700
179	592	2698
180	595	2692
181	598	2689
182	601	2685
183	604	2682
184	607	2677
185	610	2672
186	613	2668
187	617	2665
188	620	2662
189	623	2658
190	626	2654
191	629	2651
192	633	2649
193	636	2644
194	639	2640
195	642	2635
196	645	2631
197	648	2627
198	651	2624
199	655	2620
200	658	2617
201	661	2613
202	664	2610
203	667	2605
204	670	2602
205	674	2598
206	677	2594
207	680	2592
208	684	2590
209	688	2588
210	691	2586
211	695	2585
212	698	2582
213	702	2578
214	705	2575
215	708	2570
216	711	2567
217	714	2563
218	717	2560
219	721	2556
220	723	2551
221	727	2548
222	730	2544
223	733	2541
224	736	2538
225	740	2535
226	743	2532
227	746	2528
228	749	2524
229	753	2521
230	756	2518
231	759	2514
232	762	2511
233	765	2507
234	768	2502
235	771	2499
236	775	2498
237	779	2494
238	782	2490
239	785	2487
240	788	2484
241	791	2480
242	794	2476
243	797	2472
244	801	2468
245	804	2465
246	807	2462
247	811	2459
248	813	2454
249	816	2450
250	820	2448
251	824	2446
252	827	2442
253	830	2439
254	833	2434
255	836	2431
256	839	2428
257	843	2424
258	846	2421
259	849	2418
260	853	2415
261	856	2412
262	859	2408
263	862	2405
264	865	2401
265	868	2397
266	872	2394
267	875	2390
268	877	2385
269	881	2383
270	884	2378
271	887	2374
272	890	2370
273	892	2365
274	896	2362
275	899	2359
276	902	2355
277	905	2352
278	908	2348
279	911	2345
280	915	2342
281	918	2338
282	922	2336
283	925	2332
284	928	2329
285	931	2326
286	935	2323
287	938	2319
288	941	2316
289	945	2313
290	948	2310
291	951	2306
292	954	2303
293	957	2300
294	961	2298
295	964	2295
296	968	2291
297	971	2288
298	974	2285
299	977	2281
300	981	2278
301	984	2274
302	987	2271
303	990	2267
304	993	2264
305	997	2261
306	1000	2258
307	1003	2254
308	1007	2252
309	1010	2249
310	1013	2245
311	1016	2242
312	1020	2239
313	1023	2236
314	1026	2232
315	1029	2228
316	1032	2225
317	1036	2222
318	1039	2219
319	1042	2215
320	1045	2212
321	1049	2209
322	1052	2206
323	1056	2203
324	1059	2200
325	1062	2197
326	1066	2194
327	1069	2191
328	1072	2188
329	1076	2185
330	1079	2181
331	1082	2178
332	1085	2175
333	1088	2171
334	1092	2167
335	1095	2165
336	1098	2161
337	1101	2157
338	1104	2153
339	1107	2150
340	1111	2147
341	1114	2144
342	1118	2141
343	1121	2138
344	1124	2135
345	1128	2132
346	1130	2128
347	1133	2123
348	1136	2120
349	1140	2117
350	1143	2114
351	1147	2111
352	1150	2108
353	1153	2104
354	1157	2102
355	1160	2099
356	1163	2096
357	1166	2092
358	1169	2088
359	1173	2085
360	1176	2082
361	1179	2079
362	1183	2076
363	1186	2072
364	1189	2069
365	1192	2065
366	1195	2062
367	1198	2058
368	1202	2056
369	1206	2053
370	1209	2050
371	1212	2047
372	1215	2043
373	1219	2040
374	1222	2037
375	1225	2034
376	1228	2029
377	1231	2026
378	1234	2023
379	1238	2019
380	1241	2016
381	1244	2013
382	1247	2008
383	1251	2007
384	1254	2004
385	1257	2001
386	1261	1997
387	1264	1995
388	1268	1991
389	1271	1988
390	1274	1985
391	1277	1981
392	1280	1978
393	1283	1974
394	1287	1971
395	1290	1968
396	1293	1964
397	1297	1962
398	1300	1959
399	1303	1955
400	1306	1951
401	1309	1948
402	1313	1945
403	1316	1941
404	1319	1938
405	1322	1934
406	1325	1931
407	1329	1928
408	1332	1925
409	1335	1921
410	1338	1917
411	1341	1913
412	1344	1910
413	1347	1907
414	1350	1903
415	1353	1900
416	1357	1897
417	1360	1894
418	1363	1890
419	1366	1886
420	1369	1882
421	1372	1880
422	1376	1877
423	1380	1874
424	1383	1871
425	1386	1868
426	1389	1864
427	1392	1861
428	1395	1857
429	1399	1854
430	1402	1851
431	1406	1848
432	1409	1845
433	1412	1842
434	1415	1839
435	1419	1835
436	1422	1832
437	1426	1829
438	1429	1826
439	1432	1823
440	1436	1820
441	1439	1817
442	1443	1815
443	1447	1812
444	1450	1809
445	1453	1806
446	1457	1802
447	1460	1799
448	1464	1796
449	1467	1793
450	1470	1790
451	1473	1786
452	1477	1783
453	1480	1780
454	1483	1777
455	1487	1773
456	1490	1770
457	1493	1767
458	1497	1764
459	1499	1760
460	1503	1757
461	1506	1754
462	1509	1751
463	1513	1747
464	1516	1744
465	1519	1741
466	1522	1738
467	1526	1735
468	1530	1732
469	1533	1729
470	1536	1725
471	1539	1722
472	1542	1718
473	1546	1715
474	1549	1712
475	1552	1708
476	1555	1705
477	1558	1702
478	1562	1699
479	1565	1695
480	1568	1692
481	1571	1689
482	1575	1686
483	1579	1683
484	1582	1680
485	1585	1677
486	1589	1674
487	1592	1670
488	1595	1667
489	1598	1663
490	1601	1660
491	1605	1657
492	1608	1653
493	1611	1650
494	1614	1647
495	1618	1644
496	1621	1640
497	1624	1637
498	1627	1634
